t1,t2,count,dist,ang
50,150,49,-11,3.12414
50,150,49,125,0.0349066
50,150,49,-82,3.12414
50,150,49,502,0.0349066
50,150,49,497,0.0523599
50,150,49,129,0.0523599
50,150,49,-39,3.08923
50,150,49,102,0
50,150,49,504,0.0698132
50,150,49,15,0
50,150,49,-78,3.10669
50,150,49,-87,3.08923
50,150,49,133,0.0698132
50,150,49,-73,3.10669
50,150,49,-62,3.12414
50,150,49,-32,2.98451
50,150,49,-40,3.01942
50,150,49,-47,3.03687
50,150,49,-48,3.10669
50,150,49,103,0.0174533
50,150,49,119,0.0174533
50,150,49,90,0
50,150,49,112,0.0349066
50,150,49,-22,3.01942
50,150,49,-68,3.07178
50,150,49,-59,3.07178
50,150,49,-25,2.98451
50,150,49,-35,3.07178
50,150,49,124,0.0523599
50,150,49,-7,2.94961
50,150,49,-12,2.96706
50,150,49,87,0
50,150,49,111,0
50,150,49,-49,3.03687
50,150,49,-66,3.12414
50,150,49,-73,3.07178
50,150,49,-34,3.00197
50,150,49,-31,3.00197
50,150,49,-27,3.00197
50,150,49,-62,3.05433
50,150,49,76,0
50,150,49,-38,3.05433
50,150,49,-47,3.08923
50,150,49,127,0.0523599
50,150,49,-26,3.01942
50,150,49,-96,3.10669
50,150,49,-55,3.10669
50,150,49,-79,3.08923
50,150,49,-67,3.08923
50,150,49,-101,3.12414
50,150,49,-28,2.98451
50,150,49,-17,3.00197
50,150,49,-53,3.03687
50,150,49,-75,3.08923
50,150,49,106,0
50,150,49,-55,3.03687
50,150,49,-65,3.05433
50,150,49,-482,3.10669
50,150,49,-85,3.10669
50,150,49,-54,3.12414
50,150,49,-7,2.89725
50,150,49,138,0.0698132
50,150,49,-100,3.10669
50,150,49,100,0.0174533
50,150,49,-22,2.93215
50,150,49,20,0
50,150,49,-2,2.94961
50,150,49,-16,2.98451
50,150,49,-43,3.01942
50,150,49,-45,3.05433
50,150,49,98,0
50,150,49,105,0.0349066
50,150,49,-31,3.03687
50,150,49,-40,3.05433
50,150,49,-50,3.08923
50,150,49,96,0.0174533
50,150,49,116,0.0349066
50,150,49,115,0.0174533
50,150,49,-35,3.03687
50,150,49,-89,3.12414
50,150,49,107,0.0174533
50,150,49,-14,3.00197
50,150,49,-57,3.07178
50,150,49,-58,3.08923
50,150,49,-103,3.12414
50,150,49,-6,2.96706
50,150,49,-78,3.07178
50,150,49,-31,3.07178
50,150,49,-68,3.10669
50,150,49,-12,3.10669
50,150,49,2,2.94961
50,150,49,-19,2.98451
50,150,49,-60,3.03687
50,150,49,-66,3.07178
50,150,49,-50,3.05433
50,150,49,-8,2.93215
50,150,49,-10,2.94961
50,150,49,-33,3.03687
50,150,49,-32,3.05433
50,150,49,-93,3.12414
50,150,49,-21,2.96706
50,150,49,-63,3.08923
50,150,49,-43,3.08923
50,150,49,122,0.0349066
50,150,49,-3,2.96706
50,150,49,-41,3.00197
50,150,49,-20,3.01942
50,150,49,120,0.0523599
50,150,49,514,0.0523599
50,150,49,-38,3.00197
50,150,49,12,2.94961
50,150,49,-71,3.07178
50,150,49,-42,3.07178
50,150,49,-65,3.08923
50,150,49,-61,3.08923
50,150,49,-53,3.08923
50,150,49,-92,3.10669
50,150,49,-60,3.10669
50,150,49,-97,3.12414
50,150,49,118,0.0523599
50,150,49,-64,3.10669
50,150,49,-70,3.12414
50,150,49,81,0.0872665
50,150,49,159,0.10472
50,150,49,1,2.93215
50,150,49,-25,3.05433
50,150,49,-107,3.12414
50,150,49,162,0.10472
50,150,49,-51,3.03687
50,150,49,-45,3.10669
50,150,49,-17,3.12414
50,150,49,500,0.0174533
50,150,49,57,2.86234
50,150,49,-15,2.9147
50,150,49,19,2.9147
50,150,49,-30,2.94961
50,150,49,-72,3.12414
50,150,49,33,0.0349066
50,150,49,145,0.0698132
50,150,49,17,2.9147
50,150,49,-17,2.96706
50,150,49,-66,3.01942
50,150,49,-75,3.12414
50,150,49,143,0.0872665
50,150,49,7,2.94961
50,150,49,280,0
50,150,49,145,0.174533
50,150,49,72,0
50,150,49,35,0.0174533
50,150,49,511,0.0698132
50,150,49,43,1.50098
50,150,49,83,0
50,150,49,70,0.0698132
50,150,49,176,0.122173
50,150,49,-36,2.98451
50,150,49,506,0.0523599
50,150,49,60,2.86234
50,150,49,-23,2.89725
50,150,49,9,2.93215
50,150,49,-28,2.94961
50,150,49,-51,3.10669
50,150,49,78,0.0872665
50,150,49,148,0.0872665
50,150,49,150,0.0872665
50,150,49,153,0.0872665
50,150,49,378,0.366519
50,150,49,-10,3.00197
50,150,49,9,3.01942
50,150,49,-109,3.12414
50,150,49,-2,2.9147
50,150,49,-5,2.93215
50,150,49,-486,3.12414
50,150,49,79,0
50,150,49,299,0.0349066
50,150,49,495,0.0349066
50,150,49,65,2.84489
50,150,49,-39,2.94961
50,150,49,509,0.0523599
50,150,49,370,0.261799
50,150,49,462,0.471239
50,150,49,3,2.86234
50,150,49,507,0.0698132
50,150,49,146,0.0872665
50,150,49,154,0.174533
50,150,49,4,2.9147
50,150,49,13,2.96706
50,150,49,-9,2.98451
50,150,49,-55,3.00197
50,150,49,165,0.0872665
50,150,49,332,0.296706
50,150,49,-19,2.93215
50,150,49,-6,3.03687
50,150,49,-478,3.10669
50,150,49,31,0.0174533
50,150,49,169,0.122173
50,150,49,323,0.296706
50,150,49,305,2.35619
50,150,49,35,2.89725
50,150,49,-37,2.94961
50,150,49,0,2.98451
50,150,49,-490,3.12414
50,150,49,-86,3.12414
50,150,49,491,0.0174533
50,150,49,158,0.174533
50,150,49,473,0.506145
50,150,49,-47,2.98451
50,150,49,-62,3.01942
50,150,49,157,0.0872665
50,150,49,20,2.89725
50,150,49,-10,2.9147
50,150,49,8,2.9147
50,150,49,-16,2.94961
50,150,49,93,0.0174533
50,150,49,109,0.10472
50,150,49,166,0.191986
50,150,49,33,2.89725
50,150,49,15,2.93215
50,150,49,-476,3.10669
50,150,49,-269,3.12414
50,150,49,516,0.0698132
50,150,49,171,0.20944
50,150,49,27,2.82743
50,150,49,0,2.87979
50,150,49,11,2.89725
50,150,49,-17,2.9147
50,150,49,0,3.03687
50,150,49,497,0
50,150,49,80,0.0174533
50,150,49,72,0.0698132
50,150,49,86,0.0872665
50,150,49,92,0.10472
50,150,49,98,0.10472
50,150,49,-13,2.87979
50,150,49,22,2.87979
50,150,49,21,2.9147
50,150,49,-25,3.12414
50,150,49,81,0
50,150,49,349,0.191986
50,150,49,310,2.35619
50,150,49,-26,2.93215
50,150,49,27,0
50,150,49,92,0.0349066
50,150,49,527,0.0872665
50,150,49,251,0.20944
50,150,49,383,0.314159
50,150,49,87,1.51844
50,150,49,48,2.87979
50,150,49,23,2.89725
50,150,49,25,2.89725
50,150,49,14,2.94961
50,150,49,5,2.98451
50,150,49,168,0.10472
50,150,49,183,0.20944
50,150,49,279,0.244346
50,150,49,26,2.93215
50,150,49,-51,2.98451
50,150,49,-19,3.05433
50,150,49,-156,3.10669
50,150,49,63,0
50,150,49,291,0.0174533
50,150,49,131,0.10472
50,150,49,237,0.191986
50,150,49,241,0.191986
50,150,49,249,0.20944
50,150,49,375,0.279253
50,150,49,386,0.331613
50,150,49,6,2.77507
50,150,49,50,2.87979
50,150,49,13,3.00197
50,150,49,158,0.0174533
50,150,49,76,0.0698132
50,150,49,167,0.0698132
50,150,49,95,0.10472
50,150,49,105,0.122173
50,150,49,156,0.174533
50,150,49,444,0.436332
50,150,49,464,0.488692
50,150,49,313,2.35619
50,150,49,315,2.35619
50,150,49,10,2.86234
50,150,49,6,2.89725
50,150,49,15,2.96706
